 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2008   12:06:44
 ---------------------------------------------------------------------------------------------------------------------------------- 

12:06:44  |  General  |  Info  |  Register value : 'OkCancel' = 65  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  167
12:06:44  |  General  |  Info  |  Register value : 'YesNo' = 6  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  168
12:06:44  |  General  |  Info  |  Register value : 'YesNoCancel' = 70  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  169
12:06:44  |  General  |  Info  |  Register value : 'RetryCancel' = 80  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  170
12:06:44  |  General  |  Info  |  Register value : 'AbortRetryIgnore' = 56  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  171
12:06:44  |  General  |  Info  |  Register value : 'CancelTryContinue' = 448  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  172
12:06:44  |  General  |  Info  |  Register value : 'IconDefault' = 65536  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  174
12:06:44  |  General  |  Info  |  Register value : 'IconInfo' = 65536  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  176
12:06:44  |  General  |  Info  |  Register value : 'IconQuest' = 131072  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  177
12:06:44  |  General  |  Info  |  Register value : 'IconError' = 262144  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  178
12:06:44  |  General  |  Info  |  Register value : 'IconWarning' = 524288  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  179
12:06:44  |  General  |  Info  |  Register value : 'Icon1' = 65536  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  181
